version,hilos,N,ancho,alto,schedule,t_medio_ms,t_mediana_ms,desv_ms,t_min_ms,t_max_ms,fps,muestras_ms
v0,1,1,640,480,-,127.0668,126.7614,18.0690,100.8314,152.2091,7.870,147.1568;129.3223;102.2921;119.9360;100.8314;116.0370;124.2006;131.8113;152.2091;146.8718
v1,8,1,640,480,static-collapse2,17.0255,16.8113,0.9786,15.7512,18.8235,58.735,16.0622;18.8235;17.7832;16.3986;16.2749;15.7512;16.6252;16.9975;17.6351;17.9036
v2,8,1,640,480,static,17.6277,17.7055,1.1344,15.9847,20.0833,56.729,17.7259;16.8617;20.0833;16.3541;18.2880;17.4844;17.6851;17.8038;15.9847;18.0057
v3,8,1,640,480,static,10.9575,10.9120,0.4765,10.4266,11.9052,91.262,10.6854;10.8565;11.4696;10.4266;11.0578;11.2217;10.5361;10.4482;11.9052;10.9674
v3,8,2,640,480,static,12.5666,12.6508,0.8620,10.9501,13.9503,79.576,10.9501;12.3343;13.9503;13.0780;12.0326;11.7192;13.1946;12.9173;13.1056;12.3842
v3,8,4,640,480,static,16.7974,16.6709,1.8939,14.6943,20.6460,59.533,16.3480;18.6123;20.6460;16.9938;15.2936;14.6943;15.2722;14.9114;17.7965;17.4063
v3,8,3,640,480,static,14.3996,14.3534,0.9111,12.5360,15.7464,69.446,14.3440;13.6963;15.2738;15.7464;14.3629;14.0388;14.2475;12.5360;15.2718;14.4787
v3-fast,8,1,640,480,static,8.5282,8.4798,0.3995,8.0604,9.4462,117.258,8.4586;8.5059;8.0604;8.2939;8.3993;8.7533;8.0943;9.4462;8.5011;8.7694
v3-fast,8,2,640,480,static,9.2268,8.8312,1.1252,7.8932,11.6669,108.380,10.2463;11.6669;9.4211;7.8932;8.7737;8.1941;8.8886;8.5758;9.9214;8.6864
v3-fast,8,4,640,480,static,9.5959,9.7009,0.3874,9.0611,10.1122,104.211,10.1122;9.0625;9.9719;9.5919;9.8758;9.7199;9.1068;9.7749;9.0611;9.6820
v3-fast,8,8,640,480,static,12.2659,11.6105,1.1399,11.2880,14.5924,81.527,11.5294;11.5409;11.2880;11.6477;12.3805;14.5924;11.3869;13.0313;13.6884;11.5733
v3-fast,8,16,640,480,static,16.4760,16.2086,0.7404,15.7433,17.9773,60.695,17.1366;17.2546;15.7433;16.0859;15.9106;15.9187;15.9307;17.9773;16.3314;16.4706
v3-fast,8,32,640,480,static,40.5285,39.3791,4.3423,35.0547,46.3979,24.674,43.0766;39.6899;45.3049;35.1711;38.5200;35.0547;37.1123;46.3979;39.0683;45.8894
v3-fast,8,24,640,480,static,32.3146,30.2217,4.5947,27.0478,39.5470,30.946,39.0381;30.3698;37.5034;30.0213;30.0735;27.0478;28.4969;29.3454;39.5470;31.7026
v3-fast,8,20,640,480,static,27.5510,27.5276,4.2306,19.7966,32.0731,36.296,31.9270;32.0731;28.9003;31.5706;26.1086;26.1548;31.1380;23.6747;24.1664;19.7966
v3-fast,8,18,640,480,static,18.3817,18.1252,1.5502,17.0327,22.4850,54.402,17.9593;18.5465;17.9888;17.4095;17.0327;17.1452;22.4850;18.7147;18.2616;18.2738
v3-fast,8,17,640,480,static,29.9472,24.2502,10.2198,21.5487,52.0243,33.392,52.0243;35.4132;29.8011;42.3364;24.6560;22.9391;23.8444;23.4353;21.5487;23.4731
