version,hilos,N,ancho,alto,schedule,t_medio_ms,t_mediana_ms,desv_ms,t_min_ms,t_max_ms,fps,muestras_ms
v0,1,64,800,600,-,1444.2864,1372.5118,306.2072,1045.2548,1866.3464,0.692,1293.7484;1209.4150;1451.2753;1260.7525;1125.2960;1045.2548;1559.9187;1866.3464;1768.9183;1861.9389
v1,1,64,800,600,static-collapse2,1556.3992,1581.6000,148.9351,1293.1990,1712.6972,0.643,1667.2456;1647.4214;1708.8212;1515.7786;1506.0530;1293.1990;1390.6012;1712.6972;1684.3948;1437.7800
v2,1,64,800,600,static,1591.2611,1632.2395,197.5642,1240.5029,1851.6390,0.628,1673.7221;1521.8348;1590.7570;1851.6390;1734.3944;1770.9251;1698.8766;1520.6655;1240.5029;1309.2939
v3,1,64,800,600,static,1390.5169,1376.5262,192.2828,1134.8389,1708.5441,0.719,1373.7184;1153.7396;1134.8389;1583.5059;1708.5441;1379.3341;1229.5593;1356.6625;1603.5773;1381.6890
v3-fast,1,64,800,600,static,327.7963,322.7718,26.6582,299.6241,373.5189,3.051,340.5580;335.9433;301.4823;309.9059;310.2468;299.6241;305.8520;365.5349;373.5189;335.2969
v1,2,64,800,600,static-collapse2,743.9151,753.5543,120.1874,592.6479,914.3230,1.344,627.2072;815.2096;914.3230;824.7951;736.9028;651.0447;592.6479;900.5361;770.2059;606.2785
v2,2,64,800,600,static,625.2730,622.5983,60.6522,554.0703,735.9609,1.599,593.2541;554.0703;639.2044;667.6308;735.9609;605.9921;686.8571;646.8067;563.0750;559.8782
v3,2,64,800,600,static,688.9355,657.7685,163.0516,538.6268,1090.9633,1.452,639.7628;795.7149;1090.9633;724.7247;675.7741;694.9878;559.0253;609.5271;560.2477;538.6268
v3-fast,2,64,800,600,static,204.8720,206.3984,15.9070,180.8678,225.9398,4.881,210.1308;189.5700;187.3922;180.8678;197.3505;207.7622;219.6041;205.0345;225.9398;225.0686
v1,4,64,800,600,static-collapse2,313.3390,310.1898,13.7525,297.9049,336.5287,3.191,336.5287;305.7770;304.3816;297.9049;298.8381;310.2078;310.1717;315.4184;317.6823;336.4797
v2,4,64,800,600,static,370.7507,367.0603,33.6427,319.7296,434.3445,2.697,346.1249;369.9633;338.8137;319.7296;361.8386;371.3011;364.1572;399.0413;402.1925;434.3445
v3,4,64,800,600,static,362.2546,367.1131,11.4080,337.3523,373.3435,2.760,366.1180;355.2951;368.1083;370.3349;369.9563;349.7423;369.2373;337.3523;363.0582;373.3435
v3-fast,4,64,800,600,static,112.8357,113.0651,3.6709,106.7380,118.0525,8.862,118.0525;108.2861;113.2725;112.8576;106.7380;109.9076;112.7767;113.6058;115.7285;117.1317
v1,6,64,800,600,static-collapse2,288.5939,283.6943,31.3707,248.4643,330.9878,3.465,248.4643;288.4960;278.8927;326.1651;302.2742;274.1162;325.1293;330.9878;250.7549;260.6591
v2,6,64,800,600,static,281.7176,269.6972,34.2064,259.3919,374.9804,3.550,285.8397;261.9124;268.9961;261.6948;283.1060;259.3919;270.3983;374.9804;284.1785;266.6775
v3,6,64,800,600,static,264.7036,257.8624,22.2653,236.3234,309.7463,3.778,254.6481;254.7872;309.7463;260.9376;267.5642;236.3234;250.7510;244.5677;277.8599;289.8505
v3-fast,6,64,800,600,static,101.2473,95.5393,18.0221,91.5262,151.9032,9.877,97.6247;94.7682;101.6191;94.6736;96.3104;97.2050;91.5262;92.7165;94.1261;151.9032
v1,8,64,800,600,static-collapse2,320.7111,287.7400,75.9597,235.8383,459.0996,3.118,271.2221;285.8341;416.7621;459.0996;402.7247;289.6460;283.4367;296.9503;235.8383;265.5971
v2,8,64,800,600,static,238.2637,236.7012,7.8801,228.1588,255.6691,4.197,243.0394;241.7870;242.1383;228.1588;232.7796;230.6423;236.7193;235.0199;236.6832;255.6691
v3,8,64,800,600,static,248.5533,248.1996,39.8038,201.9519,314.0164,4.023,314.0164;214.4818;201.9519;202.1998;215.7173;295.0080;273.4496;254.1925;242.2067;272.3091
v3-fast,8,64,800,600,static,138.5634,115.9980,48.6368,98.1303,223.5721,7.217,218.6502;223.5721;173.9009;126.9890;111.6600;107.4996;98.1303;101.3852;103.5105;120.3360
v0,1,4,800,600,-,241.9630,251.7029,21.8931,206.2063,267.9082,4.133,206.2063;214.1849;228.1455;223.8272;247.9229;267.9082;256.1932;257.9064;255.4828;261.8527
v1,8,4,800,600,static-collapse2,53.2305,51.7675,6.3761,46.3946,70.2222,18.786,51.5316;53.6693;46.3946;70.2222;54.3023;52.8904;51.2052;52.0034;50.3395;49.7467
v2,8,4,800,600,static,45.1351,45.7728,2.1435,42.4629,48.7325,22.156,46.5508;42.4629;46.3298;43.9778;46.5550;48.7325;46.3524;42.6596;42.5145;45.2157
v3,8,4,800,600,static,35.9240,35.9276,3.7120,31.1928,41.5281,27.837,37.3361;41.5281;37.9266;40.9791;32.0328;37.8106;31.1928;34.5191;32.5186;33.3967
v3-fast,8,4,800,600,static,25.9975,24.4508,4.4178,21.4062,35.6898,38.465,23.1627;23.6959;21.4062;25.5506;24.9924;31.4062;35.6898;27.4038;23.9092;22.7578
v0,1,16,800,600,-,536.3736,538.2575,118.9701,372.4622,752.4019,1.864,752.4019;592.0928;537.9401;538.5750;411.2267;645.2517;487.7901;372.4622;612.4174;413.5786
v1,8,16,800,600,static-collapse2,102.0626,102.5328,7.8202,90.1888,114.3933,9.798,102.8191;111.6759;107.0972;100.0519;95.3986;104.0070;102.2465;90.1888;92.7481;114.3933
v2,8,16,800,600,static,97.5695,100.9266,17.9407,73.5131,121.8869,10.249,110.6163;121.8869;111.3319;112.5658;77.2102;73.5131;91.2370;112.2715;85.6308;79.4320
v3,8,16,800,600,static,65.1993,62.4780,7.1564,59.1463,84.2847,15.338,65.9535;62.1472;68.3662;62.1834;61.7417;62.7726;84.2847;63.2807;59.1463;62.1170
v3-fast,8,16,800,600,static,30.3243,29.4682,2.9780,26.6654,36.2946,32.977,26.6654;28.6607;27.8594;27.7184;29.4709;29.4656;36.2946;32.5796;32.9965;31.5316
v0,1,256,800,600,-,6697.9676,7000.0257,702.5488,5484.5382,7346.1138,0.149,5484.5382;5711.4830;6015.9068;7242.7629;7203.8401;7251.7060;6723.2738;7185.5737;7346.1138;6814.4777
v1,8,256,800,600,static-collapse2,1074.6913,977.2168,214.6650,857.1741,1541.3817,0.930,857.1741;962.4779;989.1766;1541.3817;1327.9629;987.0507;967.3828;1205.9799;947.9156;960.4112
v2,8,256,800,600,static,994.8619,985.8124,42.8196,935.6534,1063.9783,1.005,969.5248;1063.9783;986.5193;985.1055;966.2170;1005.2596;935.6534;1045.2397;1039.9713;951.1496
v3,8,256,800,600,static,1030.7128,1031.4448,85.0440,896.8395,1167.1771,0.970,1038.9074;1018.6037;1079.0709;1048.3886;1139.1999;944.9683;1167.1771;896.8395;949.9902;1023.9823
v3-fast,8,256,800,600,static,406.4243,368.5791,111.0605,322.0300,691.4106,2.460,691.4106;362.8944;490.9020;374.2639;358.7140;322.0300;342.2980;405.4295;386.0282;330.2720
v0,1,1024,800,600,-,28979.3802,28857.3048,926.1071,27406.5198,30533.7703,0.035,27406.5198;28783.7470;28345.0139;28315.6546;28620.3613;29132.3539;28930.8626;30203.6842;30533.7703;29521.8348
v1,8,1024,800,600,static-collapse2,2861.8866,2835.4858,214.6710,2601.5088,3387.9119,0.349,2601.5088;2670.5439;2953.3086;3387.9119;2872.3022;2894.3451;2905.1784;2752.5223;2782.5760;2798.6694
v2,8,1024,800,600,static,3374.9661,3302.0830,347.8073,2929.7668,3986.3121,0.296,2929.7668;2975.6876;3159.0586;3693.0271;3475.7615;3986.3121;3173.3036;3752.5777;3249.4579;3354.7081
v3,8,1024,800,600,static,3541.4237,3447.3274,551.7040,2918.1436,4478.2399,0.282,2986.6930;2918.1436;3156.0025;3690.0455;4201.6984;4033.8822;4478.2399;3054.8771;3271.2375;3623.4173
v3-fast,8,1024,800,600,static,1353.8043,1338.6578,219.4628,1018.9252,1678.9195,0.739,1018.9252;1389.9390;1162.4984;1239.9122;1163.4937;1316.5573;1360.7583;1638.0678;1678.9195;1568.9714
v0,1,64,640,480,-,1057.2101,1066.0208,165.1399,781.0988,1290.1650,0.946,781.0988;1062.5165;1164.5119;1069.5250;1290.1650;1247.9546;1120.6024;1056.2557;831.6697;947.8014
v1,8,64,640,480,static-collapse2,134.4815,131.8080,11.9404,119.2082,155.6432,7.436,122.8913;131.6828;139.2724;125.7249;148.7419;155.6432;131.9332;119.2082;126.1946;143.5222
v2,8,64,640,480,static,144.2748,138.8187,12.7474,132.6513,173.1249,6.931,173.1249;138.6080;132.6513;157.0374;137.4019;147.2446;148.8578;134.0094;134.7835;139.0295
v3,8,64,640,480,static,126.1801,123.5409,7.4626,114.8882,141.5296,7.925,141.5296;122.5327;130.8040;122.2029;114.8882;122.9895;128.9124;132.6027;121.2466;124.0923
v3-fast,8,64,640,480,static,60.7346,55.0577,14.8387,46.2913,87.0448,16.465,50.2599;86.9816;87.0448;61.1005;56.6229;63.9797;52.2481;46.2913;49.3244;53.4926
v0,1,64,1280,720,-,2815.3547,2716.3799,290.7927,2513.8988,3313.7920,0.355,3143.8456;2622.7305;3064.1686;2541.4503;2998.2669;3313.7920;2693.4480;2513.8988;2739.3118;2522.6349
v1,8,64,1280,720,static-collapse2,614.5314,599.6102,75.2047,515.7064,747.1979,1.627,549.8086;563.0092;605.8210;655.0556;515.7064;593.3994;607.1828;578.7450;729.3883;747.1979
v2,8,64,1280,720,static,502.8502,505.2662,62.4284,412.4225,610.8944,1.989,562.0777;553.8128;471.3591;610.8944;502.6421;510.3317;415.7738;481.2980;412.4225;507.8904
v3,8,64,1280,720,static,401.1586,395.1484,33.4917,360.5438,463.6068,2.493,393.5309;431.3961;399.8633;439.3019;374.2449;384.0371;463.6068;368.2949;396.7659;360.5438
v3-fast,8,64,1280,720,static,164.8268,165.7569,7.9503,151.6094,173.9136,6.067,167.8395;156.1115;163.6743;169.3524;173.3284;173.9136;172.8371;151.6094;156.8190;162.7826
v0,1,64,1920,1080,-,6841.6977,6905.9966,620.2655,5474.3958,7615.3380,0.146,5474.3958;7007.0810;6231.9450;6715.5467;7184.0552;6804.9122;6779.4719;7173.5423;7615.3380;7430.6889
v1,8,64,1920,1080,static-collapse2,939.6488,928.4185,105.0227,824.4630,1196.7280,1.064,864.3710;1196.7280;932.4739;976.5491;849.0389;891.8778;983.5048;824.4630;924.3631;953.1186
v2,8,64,1920,1080,static,884.2418,869.7836,92.4803,798.1223,1123.0038,1.131,916.2565;824.9392;889.6118;865.4291;817.3282;874.1381;831.8891;798.1223;1123.0038;901.7003
v3,8,64,1920,1080,static,865.1882,850.8335,55.1671,791.2563,959.8902,1.156,812.5559;821.2048;791.2563;885.6753;845.2811;848.1677;853.4994;945.4940;888.8574;959.8902
v3-fast,8,64,1920,1080,static,344.3321,340.1631,35.7476,308.2037,415.2677,2.904,310.2052;346.8817;308.2037;321.1779;358.2395;310.1305;388.1747;351.5954;333.4444;415.2677
v2,8,64,800,600,static:8,231.3697,223.5110,22.1141,202.3305,264.5841,4.322,207.5680;222.3302;219.4892;202.3305;224.6918;252.8775;257.6641;246.3567;215.8045;264.5841
v2,8,64,800,600,dynamic:1,199.3607,193.3773,18.0731,181.8095,234.5122,5.016,182.8894;187.8666;194.5673;192.1873;197.6272;181.8095;185.4958;216.9775;219.6737;234.5122
v2,8,64,800,600,dynamic:4,232.5860,230.8580,33.9480,189.1835,307.4276,4.299,232.1346;233.6868;229.5813;262.6400;307.4276;214.7998;189.1835;217.4824;242.7483;196.1756
v2,8,64,800,600,dynamic:16,213.1826,214.2394,20.3318,186.8523,245.9199,4.691,235.6768;245.9199;232.0225;195.3712;196.2280;219.1058;211.8986;192.1705;186.8523;216.5801
v2,8,64,800,600,guided,198.1528,190.3278,21.5383,177.8311,240.0119,5.047,179.2142;181.6493;192.4708;240.0119;201.9579;177.8311;188.1848;224.8674;213.7736;181.5668
v3,8,64,800,600,static:8,223.9228,226.9184,17.1140,198.3427,249.0405,4.466,225.5976;218.6379;228.2393;235.4631;232.7791;202.5008;249.0405;198.3427;206.5573;242.0700
v3,8,64,800,600,dynamic:1,214.4257,213.2501,28.7328,172.1260,260.8805,4.664,260.8805;242.9812;235.0202;200.5267;221.0471;205.4531;228.1084;174.0336;172.1260;204.0800
v3,8,64,800,600,dynamic:4,210.2660,210.0882,20.3752,183.8393,242.1769,4.756,190.3546;183.8393;189.6954;229.4532;242.1769;235.0311;197.4817;214.4514;205.7535;214.4229
v3,8,64,800,600,dynamic:16,190.5661,191.6521,7.3104,177.1898,201.1150,5.248,184.3234;195.6578;187.6920;193.2849;192.1518;201.1150;198.8080;184.2858;191.1525;177.1898
v3,8,64,800,600,guided,177.5088,173.4496,10.0608,170.0700,196.7847,5.634,170.1484;170.0700;171.7815;173.6855;176.5501;173.2137;195.6061;196.7847;175.2706;171.9774
