version,hilos,N,ancho,alto,schedule,t_medio_ms,t_mediana_ms,desv_ms,t_min_ms,t_max_ms,fps,muestras_ms
v3,8,64,800,600,static,198.6975,196.1739,13.8653,179.0364,229.5407,5.033,196.9126;209.5560;192.8899;198.2203;195.4351;179.0364;194.1081;229.5407;185.9713;205.3047
v3,8,64,800,600,static:8,207.3899,195.8809,29.9865,177.8712,264.6049,4.822,264.6049;244.3499;218.2912;184.4530;182.0566;177.8712;183.1078;191.4096;200.3522;227.4028
v3,8,64,800,600,dynamic:4,189.8928,185.6058,13.2871,180.7413,224.5579,5.266,197.9875;224.5579;180.7413;182.2997;187.0506;190.0060;188.9710;181.2469;181.9058;184.1610
v3,8,64,800,600,dynamic:16,199.0550,195.0453,19.2365,184.6848,250.1897,5.024,194.1685;250.1897;203.9075;195.9222;184.6848;199.3070;185.3603;201.2861;189.9531;185.7712
v3,8,64,800,600,guided,189.0475,182.9496,16.2413,176.2954,229.5809,5.290,184.2300;229.5809;198.0820;177.0041;176.3246;181.6691;195.5302;181.3976;190.3615;176.2954
v1,8,64,800,600,static-collapse2,245.5731,237.4196,25.3874,219.7605,310.9783,4.072,260.4243;219.7605;235.9839;238.2860;247.0043;243.9909;230.4177;310.9783;236.5532;232.3318
v0,1,64,800,600,-,1446.4167,1425.4090,93.9121,1333.4145,1660.0554,0.691,1660.0554;1383.5123;1423.8202;1333.4145;1555.7985;1396.6499;1407.6546;1426.9979;1442.5344;1433.7296
v3,8,64,800,600,static,207.6999,201.0031,26.9536,174.6400,262.4847,4.815,199.4850;195.4368;187.3312;174.6400;188.5588;218.5409;262.4847;243.6121;202.5213;204.3883
v3,8,64,800,600,static:8,207.2738,202.7870,21.4650,181.0185,260.2265,4.825,206.6149;196.1188;181.0185;200.5079;192.8936;205.0662;219.3422;213.1866;260.2265;197.7626
v3,8,64,800,600,dynamic:4,171.7390,170.3005,3.3244,167.7767,176.6059,5.823,169.4505;168.1962;175.6119;175.5347;169.7233;167.7767;176.6059;173.8903;170.1353;170.4657
v3,8,64,800,600,dynamic:16,198.5931,189.3804,19.6704,178.8140,243.6781,5.035,178.8140;184.3915;188.9629;185.6827;215.4724;207.8427;203.7726;243.6781;189.7980;187.5159
v3,8,64,800,600,guided,201.1682,201.3105,17.4407,178.7090,233.5391,4.971,202.0097;225.7047;204.6080;189.5389;184.2882;178.7090;200.6113;189.1410;233.5391;203.5319
v1,8,64,800,600,static-collapse2,201.9779,198.5795,14.7470,189.7378,241.4262,4.951,192.0457;191.9275;198.4612;198.6977;197.3255;241.4262;203.2341;202.8038;189.7378;204.1193
v0,1,64,800,600,-,1555.2190,1598.6879,161.0923,1224.8098,1716.8314,0.643,1642.7587;1688.1400;1441.8907;1413.1901;1554.6171;1658.3506;1224.8098;1495.8746;1715.7270;1716.8314
v3,8,64,800,600,static,191.4805,191.8807,9.4567,175.2033,211.8454,5.222,189.4325;175.2033;185.5580;198.2626;191.3364;211.8454;192.7806;192.5030;192.4250;185.4581
v3,8,64,800,600,static:8,197.3225,196.7672,21.5203,166.5634,228.2229,5.068,212.0292;228.2229;226.1945;178.0190;174.9923;209.2993;166.5634;200.9009;184.3703;192.6335
v3,8,64,800,600,dynamic:4,193.2200,189.9754,18.9732,174.2904,233.9954,5.175,201.1329;233.9954;210.5817;197.5924;198.1021;177.7731;179.4741;182.3584;176.8998;174.2904
v3,8,64,800,600,dynamic:16,183.9750,181.8754,12.2961,173.8581,216.3234,5.436,216.3234;182.8176;176.3626;186.1610;185.8959;178.2023;185.2242;173.8581;173.9713;180.9333
v3,8,64,800,600,guided,172.3343,170.7007,3.9905,168.1010,182.2716,5.803,173.9878;182.2716;173.4236;170.0608;173.8676;168.1010;170.1544;170.6337;170.7677;170.0747
v1,8,64,800,600,static-collapse2,210.0431,207.5702,12.7550,192.7668,233.9992,4.761,216.1575;208.1373;233.9992;226.6223;204.9270;211.7766;196.6834;207.0032;192.7668;202.3582
v0,1,64,800,600,-,1665.1539,1682.4263,146.0409,1446.6824,1834.9314,0.601,1637.9878;1809.5303;1834.9314;1471.2356;1584.3722;1446.6824;1726.8647;1552.4101;1800.2925;1787.2318
