version,hilos,N,ancho,alto,schedule,t_medio_ms,t_mediana_ms,desv_ms,t_min_ms,t_max_ms,fps,speedup,eficiencia,muestras_ms
v0,1,64,800,600,-,1444.2864,1372.5118,306.2072,1045.2548,1866.3464,0.6920,1.0000,1.0000,1293.7484;1209.4150;1451.2753;1260.7525;1125.2960;1045.2548;1559.9187;1866.3464;1768.9183;1861.9389
v1,1,64,800,600,static-collapse2,1556.3992,1581.6000,148.9351,1293.1990,1712.6972,0.6430,0.9280,0.9280,1667.2456;1647.4214;1708.8212;1515.7786;1506.0530;1293.1990;1390.6012;1712.6972;1684.3948;1437.7800
v2,1,64,800,600,static,1591.2611,1632.2395,197.5642,1240.5029,1851.6390,0.6280,0.9076,0.9076,1673.7221;1521.8348;1590.7570;1851.6390;1734.3944;1770.9251;1698.8766;1520.6655;1240.5029;1309.2939
v3,1,64,800,600,static,1390.5169,1376.5262,192.2828,1134.8389,1708.5441,0.7190,1.0387,1.0387,1373.7184;1153.7396;1134.8389;1583.5059;1708.5441;1379.3341;1229.5593;1356.6625;1603.5773;1381.6890
v3-fast,1,64,800,600,static,327.7963,322.7718,26.6582,299.6241,373.5189,3.0510,4.4060,4.4060,340.5580;335.9433;301.4823;309.9059;310.2468;299.6241;305.8520;365.5349;373.5189;335.2969
v1,2,64,800,600,static-collapse2,743.9151,753.5543,120.1874,592.6479,914.3230,1.3440,1.9415,0.9707,627.2072;815.2096;914.3230;824.7951;736.9028;651.0447;592.6479;900.5361;770.2059;606.2785
v2,2,64,800,600,static,625.2730,622.5983,60.6522,554.0703,735.9609,1.5990,2.3098,1.1549,593.2541;554.0703;639.2044;667.6308;735.9609;605.9921;686.8571;646.8067;563.0750;559.8782
v3,2,64,800,600,static,688.9355,657.7685,163.0516,538.6268,1090.9633,1.4520,2.0964,1.0482,639.7628;795.7149;1090.9633;724.7247;675.7741;694.9878;559.0253;609.5271;560.2477;538.6268
v3-fast,2,64,800,600,static,204.8720,206.3984,15.9070,180.8678,225.9398,4.8810,7.0497,3.5249,210.1308;189.5700;187.3922;180.8678;197.3505;207.7622;219.6041;205.0345;225.9398;225.0686
v1,4,64,800,600,static-collapse2,313.3390,310.1898,13.7525,297.9049,336.5287,3.1910,4.6093,1.1523,336.5287;305.7770;304.3816;297.9049;298.8381;310.2078;310.1717;315.4184;317.6823;336.4797
v2,4,64,800,600,static,370.7507,367.0603,33.6427,319.7296,434.3445,2.6970,3.8956,0.9739,346.1249;369.9633;338.8137;319.7296;361.8386;371.3011;364.1572;399.0413;402.1925;434.3445
v3,4,64,800,600,static,362.2546,367.1131,11.4080,337.3523,373.3435,2.7600,3.9869,0.9967,366.1180;355.2951;368.1083;370.3349;369.9563;349.7423;369.2373;337.3523;363.0582;373.3435
v3-fast,4,64,800,600,static,112.8357,113.0651,3.6709,106.7380,118.0525,8.8620,12.7999,3.2000,118.0525;108.2861;113.2725;112.8576;106.7380;109.9076;112.7767;113.6058;115.7285;117.1317
v1,6,64,800,600,static-collapse2,288.5939,283.6943,31.3707,248.4643,330.9878,3.4650,5.0046,0.8341,248.4643;288.4960;278.8927;326.1651;302.2742;274.1162;325.1293;330.9878;250.7549;260.6591
v2,6,64,800,600,static,281.7176,269.6972,34.2064,259.3919,374.9804,3.5500,5.1267,0.8545,285.8397;261.9124;268.9961;261.6948;283.1060;259.3919;270.3983;374.9804;284.1785;266.6775
v3,6,64,800,600,static,264.7036,257.8624,22.2653,236.3234,309.7463,3.7780,5.4562,0.9094,254.6481;254.7872;309.7463;260.9376;267.5642;236.3234;250.7510;244.5677;277.8599;289.8505
v3-fast,6,64,800,600,static,101.2473,95.5393,18.0221,91.5262,151.9032,9.8770,14.2649,2.3775,97.6247;94.7682;101.6191;94.6736;96.3104;97.2050;91.5262;92.7165;94.1261;151.9032
v1,8,64,800,600,static-collapse2,320.7111,287.7400,75.9597,235.8383,459.0996,3.1180,4.5034,0.5629,271.2221;285.8341;416.7621;459.0996;402.7247;289.6460;283.4367;296.9503;235.8383;265.5971
v2,8,64,800,600,static,238.2637,236.7012,7.8801,228.1588,255.6691,4.1970,6.0617,0.7577,243.0394;241.7870;242.1383;228.1588;232.7796;230.6423;236.7193;235.0199;236.6832;255.6691
v3,8,64,800,600,static,248.5533,248.1996,39.8038,201.9519,314.0164,4.0230,5.8108,0.7263,314.0164;214.4818;201.9519;202.1998;215.7173;295.0080;273.4496;254.1925;242.2067;272.3091
v3-fast,8,64,800,600,static,138.5634,115.9980,48.6368,98.1303,223.5721,7.2170,10.4233,1.3029,218.6502;223.5721;173.9009;126.9890;111.6600;107.4996;98.1303;101.3852;103.5105;120.3360
v0,1,4,800,600,-,241.9630,251.7029,21.8931,206.2063,267.9082,4.1330,1.0000,1.0000,206.2063;214.1849;228.1455;223.8272;247.9229;267.9082;256.1932;257.9064;255.4828;261.8527
v1,8,4,800,600,static-collapse2,53.2305,51.7675,6.3761,46.3946,70.2222,18.7860,4.5456,0.5682,51.5316;53.6693;46.3946;70.2222;54.3023;52.8904;51.2052;52.0034;50.3395;49.7467
v2,8,4,800,600,static,45.1351,45.7728,2.1435,42.4629,48.7325,22.1560,5.3609,0.6701,46.5508;42.4629;46.3298;43.9778;46.5550;48.7325;46.3524;42.6596;42.5145;45.2157
v3,8,4,800,600,static,35.9240,35.9276,3.7120,31.1928,41.5281,27.8370,6.7354,0.8419,37.3361;41.5281;37.9266;40.9791;32.0328;37.8106;31.1928;34.5191;32.5186;33.3967
v3-fast,8,4,800,600,static,25.9975,24.4508,4.4178,21.4062,35.6898,38.4650,9.3072,1.1634,23.1627;23.6959;21.4062;25.5506;24.9924;31.4062;35.6898;27.4038;23.9092;22.7578
v0,1,16,800,600,-,536.3736,538.2575,118.9701,372.4622,752.4019,1.8640,1.0000,1.0000,752.4019;592.0928;537.9401;538.5750;411.2267;645.2517;487.7901;372.4622;612.4174;413.5786
v1,8,16,800,600,static-collapse2,102.0626,102.5328,7.8202,90.1888,114.3933,9.7980,5.2553,0.6569,102.8191;111.6759;107.0972;100.0519;95.3986;104.0070;102.2465;90.1888;92.7481;114.3933
v2,8,16,800,600,static,97.5695,100.9266,17.9407,73.5131,121.8869,10.2490,5.4973,0.6872,110.6163;121.8869;111.3319;112.5658;77.2102;73.5131;91.2370;112.2715;85.6308;79.4320
v3,8,16,800,600,static,65.1993,62.4780,7.1564,59.1463,84.2847,15.3380,8.2267,1.0283,65.9535;62.1472;68.3662;62.1834;61.7417;62.7726;84.2847;63.2807;59.1463;62.1170
v3-fast,8,16,800,600,static,30.3243,29.4682,2.9780,26.6654,36.2946,32.9770,17.6879,2.2110,26.6654;28.6607;27.8594;27.7184;29.4709;29.4656;36.2946;32.5796;32.9965;31.5316
v0,1,256,800,600,-,6697.9676,7000.0257,702.5488,5484.5382,7346.1138,0.1490,1.0000,1.0000,5484.5382;5711.4830;6015.9068;7242.7629;7203.8401;7251.7060;6723.2738;7185.5737;7346.1138;6814.4777
v1,8,256,800,600,static-collapse2,1074.6913,977.2168,214.6650,857.1741,1541.3817,0.9300,6.2325,0.7791,857.1741;962.4779;989.1766;1541.3817;1327.9629;987.0507;967.3828;1205.9799;947.9156;960.4112
v2,8,256,800,600,static,994.8619,985.8124,42.8196,935.6534,1063.9783,1.0050,6.7326,0.8416,969.5248;1063.9783;986.5193;985.1055;966.2170;1005.2596;935.6534;1045.2397;1039.9713;951.1496
v3,8,256,800,600,static,1030.7128,1031.4448,85.0440,896.8395,1167.1771,0.9700,6.4984,0.8123,1038.9074;1018.6037;1079.0709;1048.3886;1139.1999;944.9683;1167.1771;896.8395;949.9902;1023.9823
v3-fast,8,256,800,600,static,406.4243,368.5791,111.0605,322.0300,691.4106,2.4600,16.4802,2.0600,691.4106;362.8944;490.9020;374.2639;358.7140;322.0300;342.2980;405.4295;386.0282;330.2720
v0,1,1024,800,600,-,28979.3802,28857.3048,926.1071,27406.5198,30533.7703,0.0350,1.0000,1.0000,27406.5198;28783.7470;28345.0139;28315.6546;28620.3613;29132.3539;28930.8626;30203.6842;30533.7703;29521.8348
v1,8,1024,800,600,static-collapse2,2861.8866,2835.4858,214.6710,2601.5088,3387.9119,0.3490,10.1260,1.2657,2601.5088;2670.5439;2953.3086;3387.9119;2872.3022;2894.3451;2905.1784;2752.5223;2782.5760;2798.6694
v2,8,1024,800,600,static,3374.9661,3302.0830,347.8073,2929.7668,3986.3121,0.2960,8.5866,1.0733,2929.7668;2975.6876;3159.0586;3693.0271;3475.7615;3986.3121;3173.3036;3752.5777;3249.4579;3354.7081
v3,8,1024,800,600,static,3541.4237,3447.3274,551.7040,2918.1436,4478.2399,0.2820,8.1830,1.0229,2986.6930;2918.1436;3156.0025;3690.0455;4201.6984;4033.8822;4478.2399;3054.8771;3271.2375;3623.4173
v3-fast,8,1024,800,600,static,1353.8043,1338.6578,219.4628,1018.9252,1678.9195,0.7390,21.4059,2.6757,1018.9252;1389.9390;1162.4984;1239.9122;1163.4937;1316.5573;1360.7583;1638.0678;1678.9195;1568.9714
